age,gender,caste_category,region,income_bracket,health_score,access_to_hospital
53,1,0,1,0,0.28,TRUE
43,0,1,1,0,0.13,TRUE
69,0,1,1,1,0.12,TRUE
97,2,2,1,2,0.07,TRUE
99,0,0,0,2,0.46,FALSE
77,1,1,1,1,0.47,TRUE
87,1,2,0,1,0.3,FALSE
49,1,0,1,2,0.5,TRUE
26,1,1,0,1,0.29,FALSE
34,0,1,1,1,0.19,TRUE
46,0,2,1,1,0.18,TRUE
91,0,1,1,1,0.34,FALSE
54,0,2,0,1,0.32,FALSE
38,1,2,1,2,0.21,TRUE
9,0,2,1,2,0.51,FALSE
62,1,3,1,1,0.06,TRUE
58,0,2,1,0,0.22,TRUE
61,2,2,1,1,0.32,TRUE
81,1,0,1,1,0.27,TRUE
22,0,0,1,1,0.14,TRUE
14,1,1,1,2,0.25,FALSE
76,1,0,0,2,0.24,TRUE
81,0,1,1,2,0.34,FALSE
13,0,2,1,1,0.07,TRUE
42,0,0,0,0,0.5,FALSE
26,2,1,0,1,0.46,TRUE
90,2,0,1,2,0.22,FALSE
49,0,1,0,2,0.29,TRUE
33,0,1,0,0,0.54,FALSE
23,1,2,0,1,0.16,TRUE
48,0,1,0,1,0.6,TRUE
23,1,2,0,0,0.22,TRUE
27,0,1,1,1,0.09,TRUE
79,0,1,1,2,0.07,FALSE
14,1,3,1,2,0.31,TRUE
3,1,0,1,1,0.15,TRUE
28,0,1,0,0,0.41,TRUE
91,1,1,0,1,0.37,FALSE
41,1,1,0,1,0.61,TRUE
54,0,1,1,1,0.19,TRUE
60,1,2,0,1,0.22,FALSE
5,1,0,1,1,0.14,TRUE
2,1,1,1,1,0.4,TRUE
39,2,2,1,2,0.59,TRUE
11,1,3,1,2,0.23,FALSE
43,1,0,1,2,0.41,TRUE
24,0,1,0,2,0.34,TRUE
95,1,0,0,2,0.2,TRUE
17,0,2,1,1,0.38,FALSE
85,1,0,1,2,0.25,TRUE
37,1,0,0,2,0.12,FALSE
6,1,1,0,2,0.07,FALSE
16,0,1,1,1,0.36,TRUE
32,1,2,0,1,0.21,TRUE
70,1,0,1,1,0.24,TRUE
86,1,2,1,2,0.06,TRUE
75,1,2,0,1,0.23,TRUE
72,0,2,1,2,0.39,FALSE
72,1,2,1,2,0.42,FALSE
82,0,1,1,2,0.2,TRUE
59,0,0,0,2,0.33,FALSE
87,1,1,1,1,0.33,TRUE
64,1,1,0,1,0.04,FALSE
71,0,0,1,2,0.28,TRUE
37,0,0,1,2,0.25,TRUE
89,1,1,1,2,0.23,TRUE
29,0,3,1,2,0.68,TRUE
51,0,1,1,1,0.41,TRUE
60,1,2,1,2,0.06,TRUE
79,1,1,1,1,0.41,FALSE
39,0,0,0,2,0.47,TRUE
40,0,2,1,2,0.32,TRUE
64,0,1,1,1,0.44,TRUE
67,0,0,1,2,0.49,TRUE
63,0,1,1,2,0.23,TRUE
53,1,0,0,1,0.33,TRUE
43,1,1,1,2,0.39,FALSE
51,1,1,1,1,0.11,FALSE
59,1,0,0,0,0.21,FALSE
19,1,1,0,2,0.12,FALSE
15,1,3,1,2,0.09,TRUE
35,1,1,1,0,0.41,TRUE
74,2,3,0,2,0.19,TRUE
78,0,2,0,1,0.18,TRUE
93,1,1,0,1,0.16,TRUE
69,1,0,1,1,0.34,TRUE
19,1,2,1,2,0.11,TRUE
64,1,1,1,1,0.34,FALSE
95,0,0,0,0,0.22,FALSE
92,0,0,0,1,0.19,TRUE
76,0,3,1,1,0.29,TRUE
63,0,0,1,1,0.25,TRUE
38,0,1,0,2,0.41,FALSE
53,0,1,0,2,0.41,FALSE
55,0,0,1,1,0.37,TRUE
62,0,2,0,1,0.24,TRUE
19,2,1,1,1,0.17,TRUE
94,1,1,0,2,0.39,TRUE
8,1,2,1,1,0.36,TRUE
31,0,3,1,0,0.22,TRUE
97,1,0,1,1,0.55,TRUE
2,0,1,1,1,0.23,TRUE
9,0,0,1,0,0.31,TRUE
2,0,2,1,2,0.54,TRUE
26,1,0,1,0,0.08,TRUE
98,0,0,1,1,0.37,TRUE
95,1,0,0,0,0.44,FALSE
86,2,1,1,2,0.49,TRUE
13,1,1,1,1,0.15,TRUE
56,1,3,0,2,0.5,TRUE
53,1,0,1,1,0.34,TRUE
82,0,1,1,2,0.3,TRUE
27,1,0,0,0,0.4,TRUE
72,0,1,1,1,0.18,TRUE
38,0,1,0,2,0.28,TRUE
43,1,0,0,1,0.2,TRUE
45,0,0,0,1,0.28,TRUE
42,1,2,0,1,0.12,TRUE
45,0,1,0,2,0.09,TRUE
1,0,1,0,1,0.32,TRUE
57,1,1,1,2,0.28,FALSE
35,1,0,0,0,0.04,TRUE
56,1,3,0,2,0.13,TRUE
14,0,0,0,1,0.32,TRUE
7,1,1,1,1,0.18,TRUE
66,1,1,0,1,0.07,TRUE
71,1,1,0,0,0.26,FALSE
7,1,1,1,1,0.26,FALSE
5,1,1,0,1,0.08,TRUE
51,0,1,1,0,0.24,TRUE
64,0,0,0,1,0.27,TRUE
51,2,1,1,1,0.36,TRUE
47,0,2,1,0,0.25,TRUE
40,1,1,0,1,0.46,TRUE
72,0,2,1,1,0.52,TRUE
87,1,2,0,2,0.3,TRUE
31,1,3,0,1,0.26,TRUE
83,0,1,1,2,0.45,TRUE
58,0,0,1,1,0.31,TRUE
92,1,0,1,1,0.45,TRUE
25,1,0,1,2,0.56,FALSE
33,1,3,0,1,0.43,TRUE
38,1,1,1,2,0.43,TRUE
31,0,0,0,1,0.45,FALSE
7,0,1,1,1,0.33,TRUE
58,0,1,1,2,0.07,TRUE
30,1,3,1,1,0.27,FALSE
18,0,2,0,1,0.23,FALSE
12,1,1,1,0,0.32,TRUE
57,1,0,1,1,0.41,TRUE
